Date,^GSPC,VGK,EWJ,EEM,FXI,AGG,HYG,GLD,DBC,VNQ,BTC-USD,DX-Y.NYB
1995-12-15,171.4942,143.0616,204.7267,131.9443,144.1742,101.5027,138.8586,148.3475,160.7253,109.3487,99.9609,184.8568
1995-12-22,174.0208,144.5984,209.0171,131.7456,145.0695,101.2308,139.3452,147.9277,165.0037,110.9441,105.1744,189.7318
1995-12-29,169.0548,144.4559,208.1983,135.4994,145.0304,102.5119,140.5435,149.2292,163.3184,108.7035,104.4145,197.6638
1996-01-05,176.2908,149.0799,209.1828,135.4217,146.4715,104.3525,142.4051,150.2228,165.2093,108.7527,109.3133,199.56
1996-01-12,178.2233,154.1754,209.1871,133.9441,146.2906,101.0143,144.8783,150.0143,169.4382,108.1206,106.9011,200.6173
1996-01-19,168.2696,154.3194,218.3366,134.5084,151.288,102.7073,146.4429,150.6641,165.6208,111.5095,103.4754,202.7919
1996-01-26,169.8541,156.4216,221.3885,132.7008,149.3995,103.988,147.0572,153.8818,170.3522,114.4638,104.8981,204.1527
1996-02-02,174.3022,165.8426,222.8916,132.95,149.8971,101.5315,152.0134,151.0719,172.1043,116.6295,105.3432,208.0056
1996-02-09,167.7572,167.5833,223.12,137.0905,150.5626,104.6725,155.6246,152.7971,169.7286,121.2871,105.777,203.4325
1996-02-16,171.935,166.1878,226.0147,134.5578,156.3073,105.267,153.1264,154.2868,175.7637,122.017,108.9534,197.0904
1996-02-23,172.3736,172.2099,230.7881,137.4019,154.3743,105.4386,154.2301,156.3873,176.2509,119.8521,104.2118,195.3973
1996-03-01,177.5595,173.1862,218.1248,136.23,155.4678,104.3088,155.329,157.3731,176.2053,120.0486,102.9704,191.6539
1996-03-08,180.3186,174.9866,222.3153,134.4948,159.7854,104.8426,157.0141,156.4415,173.1232,119.4036,103.9006,195.5536
1996-03-15,179.869,176.4019,228.7656,132.7744,162.0409,103.3989,155.39,156.5586,173.4807,121.0145,103.9406,190.3022
1996-03-22,189.11,177.763,229.1292,135.2573,160.8467,105.4943,157.02,155.7136,178.8402,118.753,105.059,195.7568
1996-03-29,186.7024,175.0142,231.5533,136.414,159.1343,104.1411,157.0455,152.3616,185.4785,119.489,105.4371,200.9267
1996-04-05,189.2758,173.634,227.6048,138.2515,154.2846,104.0796,153.7316,152.102,191.3443,122.553,105.4615,202.3713
1996-04-12,195.6397,172.9294,232.3761,139.8015,153.0673,106.0155,152.5588,150.8371,189.6195,120.9402,108.6637,198.3868
1996-04-19,198.3993,172.9907,232.1222,140.2057,154.4002,105.1984,153.7511,148.7254,186.6015,121.2015,109.4223,191.9867
1996-04-26,198.5598,176.3515,230.4926,141.8196,151.8944,103.7115,154.6156,151.2326,182.2865,120.2988,110.439,197.1846
1996-05-03,196.1184,175.4952,231.0534,142.4999,150.8633,103.7509,157.4276,148.7243,181.0219,119.8319,109.0836,196.4801
1996-05-10,197.4386,176.7576,227.2077,141.9184,151.7228,105.3857,159.6197,150.1341,183.4782,121.8553,108.1815,202.1769
1996-05-17,197.9623,178.871,227.435,141.5518,156.8048,104.7413,164.0608,154.7465,186.6587,121.884,107.6345,193.7199
1996-05-24,197.3304,181.8328,230.2077,146.7542,153.5415,105.7619,167.7234,150.8249,185.8244,125.1595,109.3867,193.0712
1996-05-31,205.9695,183.3833,229.3941,145.8223,152.8219,105.7341,166.2785,155.3097,190.1001,127.7084,112.348,180.3787
1996-06-07,220.0267,187.831,224.5276,143.8187,152.7622,106.5856,167.1047,159.863,190.7588,126.1765,113.1921,182.0748
1996-06-14,225.8215,194.7307,225.1196,142.3249,147.9807,108.703,167.9524,164.4235,187.6823,129.0529,113.196,176.9005
1996-06-21,230.8477,194.9358,217.0363,140.9383,146.8787,110.8489,175.0053,163.527,184.3703,126.3565,113.0715,174.5732
1996-06-28,228.253,191.5543,215.8083,142.8543,147.2512,113.0026,177.0372,162.3717,184.5108,131.4052,113.7734,167.6034
1996-07-05,230.4691,189.6485,219.069,143.505,150.3211,110.5356,180.4761,158.2884,178.647,133.5994,117.1552,167.2563
1996-07-12,233.7089,182.6705,224.7642,143.869,151.737,108.4716,177.7411,159.9263,175.994,132.5431,116.6904,165.0184
1996-07-19,235.2984,186.9356,223.2837,144.6055,151.2987,108.9302,180.6624,166.0252,175.4278,131.107,118.3871,163.2989
1996-07-26,235.0324,183.5004,219.0577,142.9813,152.6615,112.6674,178.7985,168.7181,174.0625,135.3099,120.3661,164.3439
1996-08-02,231.1466,180.8413,218.597,139.7999,151.1203,111.3312,178.2359,170.3335,174.6502,133.9549,120.1634,164.1542
1996-08-09,229.3131,179.4981,217.3171,139.884,155.5361,112.8762,174.6067,168.1092,173.9035,131.8343,118.7382,162.2038
1996-08-16,234.1046,178.4279,223.7228,140.0983,155.8714,112.0586,175.1001,173.2328,181.0208,134.4176,115.7931,166.4163
1996-08-23,219.5593,183.1829,213.7753,134.2186,158.2765,111.9576,171.4284,174.6146,182.6433,133.9564,115.1387,167.8405
1996-08-30,220.148,185.7814,215.6704,136.9432,159.844,112.7152,171.2389,172.0706,176.1824,136.6763,116.2705,168.6887
1996-09-06,220.3289,187.5812,210.0737,137.1118,154.9905,110.9248,172.897,173.192,178.437,135.0832,116.2773,172.2103
1996-09-13,219.8316,189.3765,205.2392,134.556,154.4336,108.7214,172.7512,174.2676,177.064,136.8781,119.0693,168.222
1996-09-20,223.5531,183.9352,204.611,135.5356,152.7731,108.5115,171.6077,169.6079,178.4025,138.4576,121.5918,173.9883
1996-09-27,216.9723,185.8232,209.0363,130.9379,151.9244,105.611,172.7244,167.167,178.4477,137.8639,121.5922,175.8103
1996-10-04,223.0301,182.0187,204.0065,128.8411,150.8639,107.4117,171.2108,166.8913,183.5895,136.1819,122.7158,171.199
1996-10-11,220.0902,175.9088,215.8432,132.5407,150.9033,106.6572,169.8576,167.2184,185.8708,138.4071,119.5605,168.0557
1996-10-18,220.2513,165.0156,213.963,131.4903,153.0161,107.3599,167.6086,167.9965,185.5149,140.8978,120.1611,170.7183
1996-10-25,217.8124,167.6143,211.6023,132.9341,151.3909,107.8916,175.3755,161.654,188.7408,142.196,123.9506,176.5897
1996-11-01,218.3632,173.3356,210.7902,132.4046,150.0253,109.3311,177.6018,160.7987,187.6613,142.7568,123.8559,179.4806
1996-11-08,210.7708,172.1311,216.3619,131.5304,145.8984,108.7483,180.3551,158.7746,188.5391,139.9222,124.9791,181.1432
1996-11-15,200.9394,169.4086,212.3073,132.5719,144.5404,110.4588,178.2155,159.4515,192.0216,141.7588,124.2185,190.1078
1996-11-22,210.7312,174.8839,221.3092,135.7295,142.8772,109.4304,176.1044,162.1766,197.1841,144.313,122.8349,188.9619
1996-11-29,205.1612,172.5694,218.1999,139.3027,138.7081,109.4987,175.553,158.084,198.0847,139.9057,122.5827,186.9134
1996-12-06,202.8189,172.6128,221.6481,140.3517,138.3067,106.5845,177.8562,156.2973,191.3545,137.6306,118.6169,190.0399
1996-12-13,201.4219,176.2415,218.3656,138.1274,136.8417,105.554,176.0336,153.917,189.8389,137.8375,112.1379,186.0015
1996-12-20,196.8685,174.2345,217.0017,134.6724,139.6979,106.2226,169.6177,148.7508,186.551,138.0286,110.8362,191.3332
1996-12-27,200.9028,174.2314,226.4887,133.1264,138.9272,104.9485,172.0437,147.2193,183.3469,140.002,112.3068,185.302
1997-01-03,195.7284,171.1291,230.8784,129.5711,136.2307,107.7779,172.5836,150.8091,179.0423,139.0412,111.0507,180.9195
1997-01-10,197.9985,166.8866,225.9,128.8477,137.6143,107.3459,171.5681,152.4547,179.3572,140.9117,111.9883,178.4284
1997-01-17,197.4861,163.3883,228.742,130.3758,136.8961,107.8709,173.3864,152.5224,177.4637,138.2094,113.7994,178.2459
1997-01-24,190.7534,160.2567,235.08,128.8137,139.1521,110.2174,171.3332,151.0805,175.8298,138.5018,111.3211,176.8346
1997-01-31,192.2043,157.8361,245.5324,130.4465,140.2005,107.6913,169.3156,151.2365,175.572,139.0261,113.4521,170.8177
1997-02-07,195.1438,158.4314,249.8007,130.2025,136.4284,106.1417,170.8198,147.917,172.8719,135.2166,108.1539,169.6988
1997-02-14,187.7329,156.8488,251.9336,130.5182,135.4021,104.0086,169.4087,147.3973,174.4038,133.5766,106.3227,164.6369
1997-02-21,183.7236,154.6781,254.9802,130.6554,134.6129,103.1339,171.2368,145.3597,179.5046,134.6791,106.0781,157.1885
1997-02-28,185.8297,156.2452,259.8721,130.0016,132.4998,104.7194,168.6115,142.5779,179.5003,136.6803,100.9784,159.809
1997-03-07,188.5819,157.9279,263.4632,130.7431,131.8945,106.8304,165.9764,141.0468,174.4051,134.8279,102.0549,159.4759
1997-03-14,186.8365,164.5428,272.2514,133.5268,135.7199,104.1847,162.2516,140.1507,174.3448,136.4403,94.461,156.4467
1997-03-21,190.4193,162.9084,268.7675,135.815,132.1356,101.6999,160.7892,141.5223,163.5352,133.8255,93.6101,156.9885
1997-03-28,187.1344,162.1371,267.3229,134.266,132.8035,101.0711,156.7628,141.0086,160.2386,136.2778,92.1778,155.0347
1997-04-04,188.1625,161.9905,274.0919,132.5642,131.2906,103.4806,153.667,141.4254,161.394,133.8061,92.5434,152.1474
1997-04-11,190.4054,162.3512,271.7901,134.7317,128.9825,102.3817,154.8879,138.3687,160.9867,130.5837,90.6253,150.6924
1997-04-18,197.8831,167.6559,277.654,135.8594,126.9351,101.924,150.3166,135.003,159.5886,127.8853,91.5386,152.897
1997-04-25,191.9742,161.6558,268.5918,132.3733,130.3827,100.0588,149.3465,134.0212,161.8127,130.6642,90.12,149.2185
1997-05-02,197.4513,164.4714,266.4919,133.6468,127.5255,101.6647,148.136,130.8096,164.7997,129.4867,88.8209,149.2029
1997-05-09,197.9312,159.4771,265.4043,131.7649,128.7497,99.7542,154.6281,131.907,160.58,124.1301,87.6463,152.1852
1997-05-16,196.1191,156.464,266.2956,125.8834,126.9726,97.1381,149.7037,134.2153,165.5611,123.8496,88.1404,152.0855
1997-05-23,196.5861,158.8417,272.6191,125.2935,125.5808,99.1696,154.4803,133.4561,165.5823,124.6733,89.3033,149.4085
1997-05-30,193.221,151.1216,265.7663,125.131,121.5941,96.2656,151.8986,131.0352,165.08,123.7335,91.2432,150.813
1997-06-06,189.7486,151.7822,263.5363,124.5573,116.7859,97.5496,151.0925,135.3107,166.15,121.6407,91.1976,149.6447
1997-06-13,188.5564,150.977,259.1268,123.5376,116.5704,96.9335,146.8169,131.7657,171.582,114.4982,89.2491,146.567
1997-06-20,187.6351,143.5366,249.7733,122.1704,117.3072,95.3052,146.981,133.7829,169.2465,114.5879,86.9471,150.0009
1997-06-27,197.0715,140.5795,248.3041,121.8652,114.1515,96.286,145.8982,135.5406,170.3313,111.8583,89.7704,141.274
1997-07-04,200.4343,139.2804,249.7919,125.1303,113.258,95.1222,144.9199,135.8104,173.9374,112.5328,88.1994,142.7364
1997-07-11,203.8165,141.5068,245.8728,124.2624,112.3899,95.111,144.3496,134.9761,168.3241,111.6505,88.5244,142.0452
1997-07-18,190.4765,140.9567,238.9234,124.2246,110.6275,92.5075,151.6663,137.3472,165.8888,109.4739,88.8023,141.9368
1997-07-25,192.4496,142.0039,239.5281,124.5719,113.0885,91.3472,151.684,138.655,163.9897,108.7457,90.2854,144.2481
1997-08-01,187.8363,138.3088,233.6666,121.7734,112.2378,91.8508,152.7498,137.0296,159.9274,108.7535,91.3023,141.4025
1997-08-08,194.6023,131.7712,231.72,121.9349,114.6258,90.654,150.0906,135.7639,161.2463,106.2141,89.2497,140.8901
1997-08-15,187.1767,127.0665,230.9621,121.7504,113.5994,88.2823,150.0089,135.9685,158.6905,106.5601,90.2953,139.5559
1997-08-22,185.3187,122.1758,226.6044,121.5274,109.7904,88.711,151.1704,132.1604,154.682,106.1242,93.5632,142.4937
1997-08-29,183.2899,120.0835,222.0524,119.4895,109.9715,89.982,148.9238,129.5669,158.9618,108.5483,93.6008,143.6753
1997-09-05,181.2177,118.8302,224.0369,119.1798,106.7837,90.0377,149.1937,128.0146,158.3265,105.9703,97.7868,138.2978
1997-09-12,178.6501,116.1458,239.146,118.4512,107.5337,89.7759,150.8338,127.312,158.688,106.99,95.1168,140.9682
1997-09-19,178.7538,111.6056,234.5162,118.5098,105.6772,88.1446,151.2534,125.8931,159.0994,105.4007,96.5555,140.4262
1997-09-26,186.1959,105.6213,239.7484,117.5611,107.5075,88.1527,155.431,123.1834,155.9648,103.4556,94.7945,139.6193
1997-10-03,185.2687,108.0207,241.6627,118.968,108.5441,87.2046,157.4426,124.8076,158.6907,103.5778,93.1137,138.8261
1997-10-10,184.2043,110.1003,250.5964,119.7059,106.5226,86.9842,158.8685,123.4693,159.9187,104.0287,90.2035,137.4646
1997-10-17,185.5281,109.0551,248.6091,120.1019,109.0347,86.28,157.9323,123.8487,160.1288,104.0954,90.194,141.052
1997-10-24,197.3765,105.5881,247.6829,120.4124,109.1354,86.7398,159.3454,123.3153,154.5983,105.5518,90.8096,141.1245
1997-10-31,197.0173,102.8429,253.0418,118.0475,110.0657,88.1331,163.8235,122.3155,156.9963,104.9431,89.256,138.2845
1997-11-07,195.3396,102.2288,252.0368,117.7738,107.6159,88.8493,160.2314,123.2807,160.0323,102.452,88.1154,138.855
1997-11-14,202.4367,103.222,254.229,118.4803,106.8067,86.6486,159.8056,121.4998,158.3213,105.7864,83.5749,138.879
1997-11-21,199.6413,105.3865,256.5267,118.3479,109.0427,84.8188,161.814,125.2974,159.624,102.7809,85.1729,139.9875
1997-11-28,192.7941,107.591,255.8838,115.5425,110.6096,83.9576,160.2821,120.5647,158.1916,102.226,84.2771,137.7242
1997-12-05,191.2562,108.9676,256.8274,115.3881,110.3875,84.1074,163.3783,123.9918,157.401,103.9921,84.0986,139.1924
1997-12-12,193.5853,110.0644,251.1427,119.5753,111.3512,84.3845,164.3928,121.8263,156.2793,104.0965,85.5548,138.4142
1997-12-19,196.0106,107.7869,255.6607,120.5167,111.7851,84.235,164.6271,122.1827,155.4704,105.6611,85.1957,137.3613
1997-12-26,201.4991,106.5922,246.4344,120.8121,112.085,85.7402,161.1677,120.5866,157.0003,106.0108,84.7736,135.978
1998-01-02,197.026,107.9141,254.1021,120.6263,115.3264,84.7553,161.2312,123.6795,157.3116,106.4398,82.6106,136.5233
1998-01-09,198.8468,102.4663,252.0289,120.6586,116.4176,85.5027,161.5312,126.3459,158.9479,110.1231,82.9053,132.5156
1998-01-16,197.0107,107.6034,249.1682,122.7389,116.3972,84.1499,159.4751,124.9575,160.2324,105.906,83.6191,128.4377
1998-01-23,196.0997,106.1671,255.0938,124.6483,116.9953,84.816,160.6914,122.803,158.5505,106.776,83.7439,125.9787
1998-01-30,193.4894,107.9637,250.0944,126.3917,116.9921,81.8514,163.1345,120.1733,163.0694,107.3054,81.1084,126.9828
1998-02-06,190.8325,108.3818,247.6471,124.2244,116.9455,81.0126,166.1336,122.7873,160.9885,108.5342,81.2632,122.6211
1998-02-13,197.1065,105.6365,242.8994,124.688,117.5141,82.2005,167.6011,125.3588,156.0504,108.4412,78.0161,123.1405
1998-02-20,197.8999,102.309,244.876,124.6697,117.7079,84.2111,166.9643,127.0886,157.1586,109.2079,77.6858,121.7506
1998-02-27,193.9592,101.5195,242.2907,121.4287,117.2661,83.283,162.3976,126.263,158.8012,110.2999,78.1655,122.8434
1998-03-06,190.8675,101.3674,243.4576,123.3613,117.2088,85.0534,165.6236,126.8463,159.7028,112.4377,79.4043,124.1018
1998-03-13,194.8648,102.4041,243.914,121.5057,112.8364,84.1347,168.0087,126.7195,163.822,113.777,79.656,130.3899
1998-03-20,197.9247,99.4177,251.072,121.1181,114.1085,83.1999,165.4594,125.4609,166.0567,115.8956,82.3776,127.0837
1998-03-27,198.2714,96.5162,249.659,120.8712,117.4403,86.4828,168.8896,125.8173,161.2146,114.3722,83.4137,127.4621
1998-04-03,201.1369,102.063,241.5921,121.067,116.819,86.1063,171.7383,126.2406,163.4322,113.1068,86.3272,123.4947
1998-04-10,194.5795,100.3717,252.9783,120.0851,115.6503,85.2582,167.2726,126.18,163.0121,115.0207,82.8391,121.4767
1998-04-17,189.1587,98.6629,257.2027,122.7164,117.2982,83.3984,164.8473,127.3261,169.9352,116.2365,83.9077,120.7763
1998-04-24,187.5837,98.0772,256.0759,121.47,118.9632,83.9024,163.6158,127.3075,170.872,116.0284,83.6009,117.8366
1998-05-01,185.0257,95.8477,259.4222,121.7924,121.8538,83.7201,167.2127,127.2092,173.2015,111.8652,84.7227,121.9003
1998-05-08,179.0134,94.2671,257.6635,121.3837,124.1666,84.911,169.5573,128.2126,171.5957,111.8286,83.9193,121.1073
1998-05-15,184.2,96.4479,254.6092,121.3211,124.1274,87.6985,166.7273,131.0117,172.4084,112.4423,83.4972,126.3153
1998-05-22,195.498,94.7979,260.0414,121.3514,125.0452,88.5305,164.4643,133.5211,173.2449,112.1835,80.7261,125.4431
1998-05-29,200.1728,95.7676,265.3684,123.9731,123.5292,88.3204,168.7887,135.2271,170.9247,114.3697,78.6358,126.1769
1998-06-05,204.0069,95.9556,260.2566,121.9581,125.657,88.4963,172.0039,136.6014,169.0551,112.6796,76.647,128.7069
1998-06-12,202.1701,97.8733,258.695,127.3921,123.2331,88.7209,169.3743,135.7111,167.6431,112.0422,73.5856,136.1074
1998-06-19,211.084,96.5477,255.2827,126.4044,124.7716,89.0059,168.1867,138.4374,174.1517,113.1605,70.5879,137.5461
1998-06-26,214.6016,96.2047,262.5907,126.196,122.3945,90.014,167.8628,139.1869,174.5547,115.5986,67.6006,135.9462
1998-07-03,213.3102,98.2574,259.5361,128.2144,122.4566,90.8196,172.5427,139.9929,176.1218,113.9802,69.5193,130.8562
1998-07-10,209.5015,97.153,261.0122,125.3586,122.268,91.0601,174.2315,142.3452,174.7607,116.4118,69.0425,128.9117
1998-07-17,216.3843,98.5632,260.9322,128.6399,123.1887,94.8752,177.5641,143.419,177.15,115.3033,69.6257,129.969
1998-07-24,211.0414,98.3428,252.5322,132.5129,125.3083,94.1383,169.8787,142.1864,177.7922,118.0877,70.0375,130.3538
1998-07-31,215.8975,98.8954,259.7428,132.2712,125.9189,95.5106,168.6885,147.6491,177.3249,120.5942,67.7308,130.4467
1998-08-07,216.0218,96.5722,243.7864,133.3344,130.1326,95.2527,171.3268,150.1845,178.3362,119.6143,69.8428,129.9779
1998-08-14,218.24,93.3802,254.3986,137.7036,130.3846,96.5028,174.869,151.3523,180.0339,118.0038,66.8384,132.178
1998-08-21,224.9139,92.0701,259.2567,138.9426,131.4019,95.8137,170.458,151.6854,185.6241,118.3375,64.1886,131.2511
1998-08-28,224.885,92.6246,258.1919,140.3462,133.2225,94.9779,169.5317,155.3032,182.1338,116.1325,63.4798,133.8672
1998-09-04,224.8224,93.4078,258.5617,141.7507,131.1266,95.6099,173.2797,156.0977,181.5002,115.5318,64.9032,131.4787
1998-09-11,233.4197,92.9096,258.1023,144.0051,133.7391,95.7768,171.2381,159.4277,183.354,114.0695,65.3437,131.0669
1998-09-18,237.5686,94.0709,256.714,148.1853,135.7516,95.8038,174.0593,155.4632,178.6866,112.8544,65.4344,131.2035
1998-09-25,231.9651,93.3453,259.9441,149.1103,135.62,95.0769,176.7477,158.6691,180.7624,113.0535,68.7337,138.6706
1998-10-02,240.1878,92.9849,260.4551,147.5074,135.6238,96.1519,179.4588,162.1641,180.2013,114.3425,68.2717,139.4967
1998-10-09,242.4361,94.9703,263.9669,148.1221,138.7666,94.8895,178.3551,163.6679,178.1934,112.3627,68.6195,140.1114
1998-10-16,248.2565,94.1472,262.8436,152.5478,139.6201,93.7943,177.0339,166.3041,175.9162,114.3828,68.1184,137.6276
1998-10-23,252.3742,94.4499,273.5561,157.4428,143.5701,95.9337,174.81,165.0314,174.9497,116.2026,68.3636,136.9454
1998-10-30,255.0381,93.5925,271.4204,157.4174,142.7658,95.5876,168.6789,167.6242,172.3876,115.8206,66.9231,133.2817
1998-11-06,255.9032,91.6824,263.1303,160.3039,145.5317,97.6326,175.8138,168.8072,176.8777,113.5991,68.0735,137.961
1998-11-13,259.6799,92.3887,249.7912,161.5159,144.2775,96.2858,181.7783,169.9489,173.7885,113.5945,66.7684,136.7319
1998-11-20,260.3715,92.4405,262.9919,158.4657,140.9408,97.9303,182.804,168.5617,173.983,117.2018,68.2582,141.8923
1998-11-27,253.8059,94.3093,263.3068,158.2356,142.0724,98.9083,183.1635,169.5856,181.3848,119.1842,69.8503,141.7449
1998-12-04,255.8915,95.128,253.8039,155.3094,141.9357,100.497,187.9066,170.4032,184.1317,120.4177,71.7746,140.1303
1998-12-11,252.7242,94.5551,261.8663,158.258,143.3343,103.9847,188.8456,172.1933,185.2069,119.9054,71.4013,140.5935
1998-12-18,248.9251,95.3698,270.0505,159.829,144.081,104.6533,188.0399,172.0321,181.3402,120.4259,71.0078,141.0185
1998-12-25,250.7983,97.2805,269.831,161.0646,143.3865,103.998,184.4313,172.1926,179.0312,119.3343,71.4648,138.6173
1999-01-01,244.1812,95.7253,261.1097,162.3685,145.4005,102.6089,183.8253,168.925,180.4166,120.8685,71.7155,139.1546
1999-01-08,260.2913,95.5429,250.064,161.6074,142.6035,98.97,184.2132,169.1502,184.4006,120.3745,70.9803,144.8306
